Most significant genomic positions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,Diff,,,,Apv,,,,Pk,,,,,,,LeftGene,Distance,Start,End,Strand,Product,RightGene,Distance,Start,End,Strand,Product,AffyLogC Left,,,,,,,AffyLogC Right,,,,,,
4212500,0.0133694568,0.0472486941,0.0085692533,0.0454845679,-0.004397152,0.9999517222,7.33E-54,1,2.12E-21,1,0,1,0,1,0,SVEN_3872,301,4211384,4212199,-1,"Transcriptional regulator, TetR family - atrA",SVEN_3873,35,4212535,4213899,1,NADH dehydrogenase,-0.5593881934,-0.7428060739,0.4494085077,0.1038822336,0.0327633548,-0.0039664235,0.0377297723,-0.1975472337,0.0190558321,-0.2977536801,-0.1638235613,-0.9192102739,-0.1904322914,0.4832629921
5840050,0.0243882374,0.0342629193,0.0108436445,0.0677427474,-0.0009337831,0.0005280352,1.13E-26,1,1.02E-51,1,0,1,0,1,0,-,-,-,-,-,-,SVEN_r19,362,5840412,5840481,1,16S ribosomal RNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
905725,0.0654463545,0.0026269093,0.0111507993,0.0265534003,-0.0346810191,1.96E-51,0.9999998111,1,7.39E-05,1,1,0,0,1,0,SVEN_0784,192,904670,905533,-1,protein YceG,-,-,-,-,-,-,0.3457404568,0.1560629997,-0.15259533,-0.1793243527,-0.6304699735,-0.1373551996,0.0813888275,-,-,-,-,-,-,-
3757875,0.065312612,0.0074537525,0.0147167463,0.0453145216,-0.0186459666,3.28E-51,0.9999998111,0.0130573665,3.26E-21,1,1,0,0,1,0,-,-,-,-,-,-,SVEN_t32,5,3757880,3757950,1,tRNA-Gly,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3279250,0.0300805287,0.0056964164,0.0071626056,0.0672238403,-0.0066567198,4.79E-08,0.9999998111,1,7.09E-51,1,1,0,0,1,0,SVEN_3001,46,3278632,3279204,-1,"Transcriptional regulator, TetR family",SVEN_3002,185,3279435,3282737,1,putative protease,-0.834718005,-1.8218432484,1.0763456371,-0.2271385003,0.1745434046,0.1194063309,0.8473794951,0.3045390346,-0.198872486,-0.2033757393,-0.153616634,-0.4554330602,-0.6430328219,-0.0591565841
501825,0.0650657096,-0.0045226852,0.0174153935,0.0256817501,-0.0330972904,8.46E-51,0.9999998111,3.51E-05,0.0002674577,1,1,0,1,0,0,-,-,-,-,-,-,SVEN_0461,153,501978,502181,1,cold shock protein,-,-,-,-,-,-,-,0.1691299874,-0.2678951072,0.1656322372,-0.8343369913,-0.2594755839,-0.2852371056,0.3373602835
6076250,0.0070172074,0.0459393157,0.0089530518,0.0421057589,0.0007062624,0.9999517222,9.90E-51,1,7.94E-18,1,0,1,0,1,0,-,-,-,-,-,-,SVEN_5586,17,6076267,6077145,1,hypothetical protein,-,-,-,-,-,-,-,-0.1109852923,-0.4357135916,-0.0666438597,0.9385280469,0.7731464833,0.7489125047,0.5951867268
7493575,0.0170360138,0.045882248,0.0083930968,0.0410991602,-0.0013781698,0.9999517222,1.35E-50,1,8.16E-17,1,0,1,0,1,0,SVEN_6840,9,7491203,7493566,-1,Excinuclease ABC subunit A,-,-,-,-,-,-,0.0660332704,-0.170904558,0.0149804858,0.1004364392,-0.0260730978,0.1107348645,-0.1794379328,-,-,-,-,-,-,-
4682500,0.0646190544,0.0016460825,0.0079208982,0.0178684006,-0.0277665711,4.66E-50,0.9999998111,1,0.9999999907,1,1,0,0,0,0,-,-,-,-,-,-,SVEN_t52,8,4682508,4682589,1,tRNA-Tyr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
884600,0.0086800069,0.0452105661,0.0104691074,0.0373275301,0.0029845982,0.9999517222,5.01E-49,1,3.10E-13,1,0,1,0,1,0,SVEN_0765,57,884157,884543,-1,hypothetical protein,SVEN_0766,104,884704,885363,1,putative polyketide synthase,-0.1037950385,-0.1283335686,0.0123472023,-0.0381008396,0.1263484288,0.0191486333,0.03582961,0.21150153,-0.5064759434,-0.0857834669,0.4307735074,0.3435115256,0.2501643427,0.0784575299
4956850,0.0243382414,0.0168922077,0.0129576748,0.0649677352,-0.0001371846,0.0005683112,0.0011389856,0.3732348205,2.71E-47,1,0,0,0,1,0,-,-,-,-,-,-,SVEN_4602,42,4956892,4958040,1,putative secreted protein,-,-,-,-,-,-,-,0.2823277179,0.1424845405,0.0197290477,0.1294645485,0.2065935494,0.1096457324,0.2086996535
3275925,0.0126376969,0.0440792869,0.0067334011,0.043036833,-0.0023503413,0.9999517222,1.96E-46,1,8.75E-19,1,0,1,0,1,0,SVEN_2998,61,3274770,3275864,-1,Substrate-specific component NikM of nickel ECF transporter or Additional substrate-specific component NikN of nickel ECF transporter,SVEN_2999,32,3275957,3276319,1,putative regulatory protein SsgE,-0.1970897258,-0.1540437474,-0.049117325,-0.0250824367,-0.0485071692,0.1623708172,0.0043916961,0.2492279257,-0.2898052656,0.1812681913,0.3723149071,-0.2266310175,-0.0100458034,0.0120026631
7472425,0.0618776384,0.024914193,0.0319699264,0.0471797787,0.0032082199,1.27E-45,2.12E-12,3.61E-26,2.70E-23,1,1,1,1,1,0,SVEN_6823,85,7471879,7472340,-1,hypothetical protein,SVEN_6824,-60,7472365,7473309,1,putative oligosaccharide deacetylase,0.0378638824,0.1404993562,0.1884595033,0.0636599144,0.0099245823,0.0575923425,0.0593465744,0.0473838201,0.3018735469,0.063881952,0.1198225245,0.1482164572,0.2119284274,0.5901021644
4699325,0.0608851979,0.002811264,0.0149709824,0.0439776636,-0.0391864141,4.62E-44,0.9999998111,0.0077822409,8.98E-20,1,1,0,0,1,0,-,-,-,-,-,-,SVEN_4345,128,4699453,4702989,1,"DNA-directed RNA polymerase beta subunit, rpoB",-,-,-,-,-,-,-,-0.2128426831,0.3050845642,0.73716019,-0.7549189297,0.191800555,-0.0957883353,0.7039222869
7838825,0.0154825176,0.0428637335,0.0095350691,0.0213619379,0.001465189,0.9999517222,1.01E-43,1,0.085945608,1,0,1,0,0,0,SVEN_7139,22,7836953,7838803,-1,ABC transporter solute-binding protein,SVEN_7140,78,7838903,7840060,1,D-amino-acid oxidase,0.0803560359,-0.1009798259,-0.1203630163,0.0748612491,0.0353449643,-0.0308532477,-0.0666379342,0.2404680399,0.2794372463,-0.0432877687,0.0951800289,-0.0256146794,-0.3892717373,-0.0665993743
2297325,0.0324294898,0.0427001503,0.0130040602,0.0497572438,-0.0027184317,5.98E-10,2.32E-43,0.3434023995,2.63E-26,1,1,1,0,1,0,SVEN_2109,-27,2296966,2297352,-1,hypothetical protein,-,-,-,-,-,-,0.1172756494,0.7771398522,0.1632062687,-0.3226697057,-0.5534060959,-0.7821059755,-0.0489649368,-,-,-,-,-,-,-
3144100,0.0599837114,0.0034109134,0.0048038224,0.0077812778,-0.0075285497,1.15E-42,0.9999998111,1,0.9999999907,1,1,0,0,0,0,SVEN_2887,51,3143861,3144049,-1,hypothetical protein,-,-,-,-,-,-,0.2819298083,0.6006702373,0.9759956967,0.7320784978,-0.364313047,-0.4024943876,-0.00026183,-,-,-,-,-,-,-
4682475,0.0595583498,0.0016160486,0.0072132134,0.0148909174,-0.0243759024,5.13E-42,0.9999998111,1,0.9999999907,1,1,0,0,0,0,SVEN_4325,138,4681846,4682337,-1,protein YajQ,SVEN_t52,33,4682508,4682589,1,tRNA-Tyr,-0.7164826017,0.6299821843,0.0474514156,0.343096619,0.3202315277,0.1763614228,-0.0291027665,-,-,-,-,-,-,-
3673125,0.0590122873,-0.0006955022,0.0077445565,0.017789795,-0.0248856599,3.46E-41,0.9999998111,1,0.9999999907,1,1,0,0,0,0,-,-,-,-,-,-,SVEN_t31,-19,3673106,3673179,1,tRNA-Pro,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4153050,0.0583515376,0.0035911243,0.0086897359,0.0260017039,-0.0311756311,3.41E-40,0.9999998111,1,0.000167605,1,1,0,0,0,0,SVEN_t41,2,4152973,4153048,-1,tRNA-Gly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2787475,0.0177625337,0.0410802162,0.0039778588,0.0393372272,-0.0018893046,0.9999517222,7.07E-40,1,4.23E-15,1,0,1,0,1,0,-,-,-,-,-,-,SVEN_2562,11,2787486,2788454,1,membrane transport protein,-,-,-,-,-,-,-,0.1725699127,-0.3590678585,-0.3581167544,-0.4373876647,-0.4409215385,0.2079611217,-0.0202607263
2854100,0.039790129,0.0257405426,0.0252694587,0.059499108,-0.0036716343,8.17E-17,1.75E-13,5.22E-15,4.09E-39,1,1,1,1,1,0,SVEN_2614,109,2852597,2853991,-1,hypothetical protein,SVEN_t23,76,2854176,2854249,1,tRNA-Lys,-0.0796132725,-0.3900586702,-1.2383010335,-0.0633889169,-1.8687672823,-1.126945505,-0.6573152263,-,-,-,-,-,-,-
1086975,0.0210063582,0.0072120924,0.0118496309,0.0590395783,-0.0036346227,0.0552754684,0.9999998111,1,1.85E-38,1,0,0,0,1,0,SVEN_0959,171,1085305,1086804,-1,hypothetical protein,SVEN_0960,308,1087283,1087873,1,hypothetical protein,0.1338154064,0.1049302198,0.11845679,0.1886321689,-0.1164450904,0.2937868921,0.1232219424,0.3294943955,0.0127369285,-0.1276304358,0.1758841686,-0.0001276474,0.2631261193,0.770084976
6703550,0.0204313878,0.0401935813,0.0088164276,0.0585034026,0.0002751082,0.1142368667,5.02E-38,1,1.06E-37,1,0,1,0,1,0,-,-,-,-,-,-,SVEN_6148,52,6703602,6704348,1,putative glutamate uptake system ATP-binding protein,-,-,-,-,-,-,-,-0.200426291,-0.2076370266,-1.30157775,-2.6008330971,-2.2532447337,-1.9554857797,-1.3192578129
5245650,0.0209854625,0.0338635088,0.0031558464,0.0586287885,-0.0010600294,0.056771714,5.67E-26,1,7.05E-38,1,0,1,0,1,0,-,-,-,-,-,-,SVEN_4872,-37,5245613,5247106,1,putative integral membrane protein,-,-,-,-,-,-,-,-0.0483693893,-0.1019095122,-0.0376482772,0.1019898218,-0.1424682929,-0.0783710663,-0.267031349
3872400,0.0326324358,0.0156448412,0.0097510929,0.0582815101,-0.003290355,4.03E-10,0.0133255469,1,2.17E-37,1,1,0,0,1,0,SVEN_3562,167,3871961,3872233,-1,hypothetical protein,SVEN_3563,13,3872413,3874530,1,hypothetical protein,-0.0895577156,0.12672275,0.2640149628,0.1360755743,0.0469628885,0.0677946387,-0.0246402852,-0.3472303728,0.2469872614,0.4191104379,0.2584681399,-0.2445542884,-0.0447094323,0.0539425042
1385300,0.0367076221,0.0046524301,0.0064519733,0.0576199308,-0.0018342265,8.97E-14,0.9999998111,1,1.81E-36,1,1,0,0,1,0,SVEN_1232,69,1384227,1385231,-1,FKBP-type peptidyl-prolyl cis-trans isomerases 1,-,-,-,-,-,-,-0.5353044975,0.2713274251,-0.3139266802,-0.5519048926,-0.226767693,-0.32839139,-0.034045067,-,-,-,-,-,-,-
1171900,0.0557137588,-0.0002647643,0.0116274099,0.0275876847,-0.0305765961,2.43E-36,0.9999998111,1,1.52E-05,1,1,0,0,1,0,-,-,-,-,-,-,SVEN_1031,164,1172064,1174034,1,putative CbxX or CfqX family protein,-,-,-,-,-,-,-,0.1087169959,-0.2036570122,-0.1055668137,-0.0237643078,-0.1940264686,0.1569731251,-0.0448003435
1528125,0.0452237203,0.0163457213,0.0101303505,0.0572916891,0.000383935,9.32E-23,0.0034199811,1,5.15E-36,1,1,0,0,1,0,SVEN_1361,633,1526650,1527492,-1,hypothetical protein,-,-,-,-,-,-,0.0539356194,-2.0530159473,0.001178523,-0.1334374148,-0.101688384,0.0129960679,-0.230578351,-,-,-,-,-,-,-
4192900,0.0554504823,0.0017117233,0.0125580344,0.0138725503,-0.027362359,5.77E-36,0.9999998111,0.7563783422,0.9999999907,1,1,0,0,0,0,-,-,-,-,-,-,SVEN_t48,-19,4192881,4192954,1,tRNA-Met,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3940375,0.0550265815,0.0067344233,0.012750693,0.0225049069,-0.036739704,2.30E-35,0.9999998111,0.5394677418,0.0205645262,1,1,0,0,0,0,SVEN_3626,-20,3940291,3940395,-1,hypothetical protein,-,-,-,-,-,-,-1.7135413641,-2.3390377753,-0.3877293389,0.087302249,1.4360416325,1.6546208972,0.3900418999,-,-,-,-,-,-,-
1201525,0.0545495324,0.0082761864,0.011954621,0.0070291187,-0.0137561019,1.07E-34,0.9999998111,1,0.9999999907,1,1,0,0,0,0,SVEN_1057,-56,1200070,1201581,-1,Inosine-5-monophosphate dehydrogenase guaB2,-,-,-,-,-,-,0.1517984119,-0.1227371412,-0.3398798335,-1.1100489584,-0.1786869561,0.3769511623,0.9348774559,-,-,-,-,-,-,-
5212775,0.0297643535,0.0382724384,0.0156772651,0.0506827892,-0.0026228197,8.44E-08,3.75E-34,0.0017688345,2.00E-27,1,1,1,0,1,0,SVEN_4839,85,5212448,5212690,-1,putative glutaredoxin protein fabG,SVEN_4840,64,5212839,5215019,1,ATP-dependent DNA helicase UvrD or PcrA,0.4221148069,0.0036480238,0.326677155,0.8089051144,0.6102678282,0.5546591954,0.7767457388,0.1317684222,-0.1858296272,0.3008101407,0.0597064336,0.0965096529,0.2691446785,-0.0223048438
3884925,0.030192468,0.0112610948,0.0014120066,0.0557497126,0.0014483741,3.92E-08,0.9999998111,1,6.43E-34,1,1,0,0,1,0,SVEN_3572,207,3882925,3884718,-1,hypothetical protein,SVEN_3574,1332,3886257,3886457,1,hypothetical protein,-0.3166435101,0.9181118703,0.3720005304,-0.1433887454,0.5863814568,0.0671797145,0.0799580447,-,-,-,-,-,-,-
7626100,0.0042252517,0.0379668944,0.0029486331,0.0375154331,-0.0035030365,0.9999517222,1.49E-33,1,2.09E-13,1,0,1,0,1,0,-,-,-,-,-,-,SVEN_6971,913,7627013,7628368,1,putative prolyl aminopeptidase,-,-,-,-,-,-,-,-0.0743187724,0.7509432404,0.0433535131,-0.1906282656,0.1291831727,0.4294081451,0.6171247331
7001150,0.0170253383,0.0379591739,0.0042174218,0.0382833572,-0.0003318065,0.9999517222,1.54E-33,1,4.13E-14,1,0,1,0,1,0,SVEN_6416,29,7000081,7001121,-1,Sphingomyelinase C precursor,SVEN_6417,97,7001247,7001732,1,ATP synthase B chain,0.1363321747,-3.805358301,0.2085015701,0.9115465565,0.691875218,-0.3702488155,-0.2675182257,-0.6124118709,0.7224129319,-0.1699365883,-0.3837000374,0.3364474305,-0.1435599828,1.0701013722
4178950,0.0536294653,-0.0021343871,0.01594216,0.0233021704,-0.030699633,2.03E-33,0.9999998111,0.0009980553,0.0072765276,1,1,0,0,0,0,SVEN_t46,-78,4178956,4179028,-1,tRNA-Glu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6508200,0.0534814482,0.002901544,0.0029650622,0.0348849118,-0.0005551246,3.23E-33,0.9999998111,1,4.27E-11,1,1,0,0,1,0,-,-,-,-,-,-,SVEN_5979,371,6508571,6509569,1,hypothetical protein,-,-,-,-,-,-,-,0.1200834241,-8.14E-05,-0.0811228327,0.0695720493,0.0494006785,0.0316877111,-0.0520312264
703625,0.0532222697,0.0027228013,0.0141819628,0.0120567771,-0.017757932,7.32E-33,0.9999998111,0.0377423879,0.9999999907,1,1,0,0,0,0,SVEN_0610,124,702917,703501,-1,hypothetical protein,-,-,-,-,-,-,-0.4912895201,0.1845487054,1.0237963142,-0.0879728192,0.4037057702,0.0448384962,0.0586647401,-,-,-,-,-,-,-
4600725,0.0163851922,0.0375332822,0.0098506831,0.0453183371,-0.0009339477,0.9999517222,1.03E-32,1,3.23E-21,1,0,1,0,1,0,SVEN_4250,31,4598727,4600694,-1,putative serine or threonine protein kinase,-,-,-,-,-,-,-0.0590751044,0.0697865328,0.0966815912,0.1447089078,-0.0083167501,0.035839216,0.2467604932,-,-,-,-,-,-,-
4178925,0.0531111191,-0.0009622862,0.0172648316,0.022024924,-0.0294036008,1.04E-32,0.9999998111,5.00E-05,0.0378125514,1,1,0,1,0,0,SVEN_t45,10,4178842,4178915,-1,tRNA-Asp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2866075,0.0244743627,0.0033562264,0.003692351,0.0541144095,-0.0006627194,0.0004650755,0.9999998111,1,9.34E-32,1,0,0,0,1,0,SVEN_2626,197,2864997,2865878,-1,hypothetical protein,-,-,-,-,-,-,0.1196802406,-0.0129303619,-0.6665509922,-1.6227467483,-1.4358154354,0.1357402016,0.6388387377,-,-,-,-,-,-,-
6934250,0.0348598127,0.0239428336,0.0067113243,0.0540483905,-0.0011940121,4.58E-12,3.59E-11,1,1.14E-31,1,1,1,0,1,0,-,-,-,-,-,-,SVEN_6351,23,6934273,6935007,1,hypothetical protein,-,-,-,-,-,-,-,-0.2938557418,-0.2125737397,-0.0101010958,-0.1683568884,-0.2487215937,0.1002274678,0.3956074301
4684950,0.0522180761,-0.0012181436,0.0240119038,0.0155685886,-0.0283831834,1.67E-31,0.9999998111,3.37E-13,0.9999999907,1,1,0,1,0,0,-,-,-,-,-,-,SVEN_t54,-17,4684933,4685005,1,tRNA-Met,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5117650,0.0360574289,0.0250368503,0.016343227,0.0536518966,-0.0010774146,3.66E-13,1.47E-12,0.0004124266,3.72E-31,1,1,1,0,1,0,SVEN_4755,195,5117228,5117455,-1,hypothetical protein,SVEN_4756,54,5117704,5120148,1,putative lipoprotein,0.2099468021,0.179867471,-0.1574196416,-0.3604475488,-1.599310592,-0.0626681268,0.5731895705,-0.285516955,0.0166457949,-0.560718692,-0.3284407085,-1.4922051731,0.0061550509,0.5369028032
3940425,0.0517197561,0.0117407566,0.0155901301,0.0232873732,-0.0340421369,7.69E-31,0.9999998111,0.0021309956,0.0074204488,1,1,0,0,0,0,SVEN_3626,30,3940291,3940395,-1,hypothetical protein,SVEN_3627,478,3940903,3941760,1,Adenylate cyclase,-1.7135413641,-2.3390377753,-0.3877293389,0.087302249,1.4360416325,1.6546208972,0.3900418999,-0.5035188701,-0.8826226389,-0.1545486679,-0.5672081908,-0.0658094393,-0.0248203461,0.6387988688
3491200,0.0331077782,0.0002749486,0.0343790546,0.0220568399,-0.022719271,1.59E-10,0.9999998111,8.25E-31,0.0363255809,1,1,0,1,0,0,SVEN_r10,232,3490849,3490968,-1,5S ribosomal RNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5235600,0.0090580403,0.036443922,0.0129674657,0.0140388188,0.0023662398,0.9999517222,1.22E-30,0.3667387314,0.9999999907,1,0,1,0,0,0,SVEN_4859,43,5235138,5235557,-1,"Transcriptional regulator, FUR family - CatR",SVEN_4860,84,5235684,5237135,1,Catalase,-0.0720817985,0.0227335277,-0.3022805456,-0.1385000949,-0.1301878425,0.0820079925,0.3558521071,0.1257412491,-0.0811927902,0.0504141646,-0.121579815,-0.1459965694,0.1320480027,0.0676621875
594675,0.0083330957,0.0362459762,0.0024785109,0.0276290891,-0.0003807595,0.9999517222,2.86E-30,1,1.43E-05,1,0,1,0,1,0,SVEN_0525,-81,593473,594756,-1,L-Proline or Glycine betaine transporter ProP,-,-,-,-,-,-,-0.0031122653,-1.4780567964,0.4353491004,0.3311340504,0.0224051419,-0.0449983301,-0.0650791379,-,-,-,-,-,-,-
4684900,0.0502627484,-0.0004469211,0.0248911173,0.0147922863,-0.0261672431,6.19E-29,0.9999998111,1.87E-14,0.9999999907,1,1,0,1,0,0,-,-,-,-,-,-,SVEN_t53,-83,4684817,4684889,1,tRNA-Thr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3014450,0.0116181065,0.0061864186,0.0083411966,0.0506925853,0.0004959254,0.9999517222,0.9999998111,1,1.94E-27,1,0,0,0,1,0,SVEN_2756,22,3013751,3014428,-1,DNA-binding response regulator mtrA,SVEN_2757,298,3014748,3016061,1,putative integral membrane protein,0.1448475436,0.2400278214,0.436654653,0.3473587511,0.5102684507,0.4760044349,0.3442786607,-0.4867542122,-0.2487752359,0.1937821728,-0.1442020212,-0.0553144015,-0.1122032816,-0.0712624796
4545350,0.0189451883,0.0308721015,0.0064217251,0.0503968266,-0.0005743918,0.6840225328,5.52E-21,1,4.45E-27,1,0,1,0,1,0,-,-,-,-,-,-,SVEN_4200,916,4546266,4546988,1,Methylglutaconyl-CoA hydratase,-,-,-,-,-,-,-,0.0227934242,-0.1890362705,0.0020022352,0.2972729538,-0.1002814503,0.1506289942,-0.1114256019
5284925,0.0486479653,0.0034524003,0.0162488225,0.0255573769,-0.0162839296,6.94E-27,0.9999998111,0.0005087489,0.0003202628,1,1,0,0,0,0,SVEN_4905,53,5284615,5284872,-1,WhiB transcription regulator WblE,-,-,-,-,-,-,-1.4886062192,-1.7790941663,0.9091185524,-0.4389054207,0.1869824859,0.2515007773,1.2650967174,-,-,-,-,-,-,-
2549875,0.0484087825,0.0023282532,0.0147049558,0.0097479972,-0.0206403109,1.38E-26,0.9999998111,0.0133718128,0.9999999907,1,1,0,0,0,0,SVEN_t16,-22,2549825,2549897,-1,tRNA-Ala,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3301300,0.0138958742,0.0339468274,0.0112502035,0.0186434882,-0.0035748103,0.9999517222,4.06E-26,1,0.9999999907,1,0,1,0,0,0,SVEN_3020,-3,3295010,3301303,-1,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6348175,0.0083052338,0.0338503914,0.0054093221,0.0418043837,-0.0001223174,0.9999517222,5.98E-26,1,1.60E-17,1,0,1,0,1,0,SVEN_5828,70,6347491,6348105,-1,Uncharacterized protein Q1 colocalized with Q,SVEN_5829,109,6348284,6349360,1,Uroporphyrinogen III decarboxylase,-0.0993462432,-0.4529199347,-0.3141581731,-0.6277759934,-0.5841626854,0.0443297076,-0.1611353969,-0.0150994215,0.7316288192,-0.0506207024,-0.6202169686,-0.0919119263,-0.1614064797,0.3325524858
2425525,0.047508416,-0.0036451924,0.0141833882,0.0083438026,-0.0240079273,1.77E-25,0.9999998111,0.0376376986,0.9999999907,1,1,0,0,0,0,SVEN_t14,-12,2425465,2425537,-1,tRNA-Asn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3540325,0.0203082389,0.0273324143,0.0024606381,0.0484281232,-0.0002199082,0.1331290824,1.14E-15,1,9.84E-25,1,0,1,0,1,0,SVEN_3229,-11,3539734,3540336,-1,hypothetical protein,-,-,-,-,-,-,-0.0257352529,-0.4931372291,-0.4266450339,-0.6004614308,-0.725305324,-0.3864772586,0.2051465964,-,-,-,-,-,-,-
1433300,0.0467123345,0.0029738547,0.0112156266,0.0164707772,-0.0363975101,1.63E-24,0.9999998111,1,0.9999999907,1,1,0,0,0,0,-,-,-,-,-,-,SVEN_t9,-32,1433268,1433355,1,tRNA-Leu,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3862825,0.0463637427,-0.0013130356,0.0053995627,0.0124353375,-0.0108848986,4.25E-24,0.9999998111,1,0.9999999907,1,1,0,0,0,0,-,-,-,-,-,-,SVEN_3556,-32,3862793,3863671,1,hypothetical protein,-,-,-,-,-,-,-,0.2816895365,-0.9248171077,-0.9972719022,0.2248437468,-0.2933185999,-0.112551664,0.1822465982
5480100,0.0462465863,-0.001553535,0.0171719767,0.0192868128,-0.0188571584,5.85E-24,0.9999998111,6.22E-05,0.9654360427,1,1,0,1,0,0,-,-,-,-,-,-,SVEN_5092,52,5480152,5482395,1,Superfamily I DNA and RNA helicases,-,-,-,-,-,-,-,0.0683424553,0.2687733009,0.1112399461,-0.1504031724,0.1876232642,0.20636459,-0.1029008258
2425275,0.0176049703,0.0082357513,0.0067392692,0.0474375854,-0.0047192872,0.9999517222,0.9999998111,1,1.37E-23,1,0,0,0,1,0,SVEN_t12,55,2425144,2425220,-1,tRNA-Met,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5296600,0.0065753451,0.032244353,0.0017844113,0.0163432697,-0.0052579176,0.9999517222,3.24E-23,1,0.9999999907,1,0,1,0,0,0,-,-,-,-,-,-,SVEN_4919,11,5296611,5297030,1,hypothetical protein,-,-,-,-,-,-,-,-0.6815897172,-0.1017054973,-0.0616965161,0.1509541116,-0.4199683643,-0.5939204804,-0.6365163862
5089475,0.0168593276,0.0099946389,0.0088038366,0.0470232235,0.001308086,0.9999517222,0.9999998111,1,4.07E-23,1,0,0,0,1,0,SVEN_4730,53,5088484,5089422,-1,hypothetical protein,-,-,-,-,-,-,-0.5259115639,-0.0804581433,0.1879368723,0.8569076028,0.3678684032,0.3468117055,0.1197641177,-,-,-,-,-,-,-
4685050,0.0454385761,-0.0014262257,0.0188302769,0.0268342667,-0.0290210447,5.24E-23,0.9999998111,1.08E-06,4.84E-05,1,1,0,1,1,0,-,-,-,-,-,-,SVEN_4328,45,4685095,4685259,1,LSU ribosomal protein L33p,-,-,-,-,-,-,-,-0.3036787978,-0.6083466854,0.076917059,-1.4099951608,-0.2693026599,-0.6310005373,-0.1009267769
6601375,0.0086625766,0.0319351557,0.0042799916,0.0253623521,0.0012052405,0.9999517222,1.05E-22,1,0.0004241102,1,0,1,0,0,0,SVEN_6059,-19,6599565,6601394,-1,hypothetical protein,-,-,-,-,-,-,-0.4069846756,0.1914781614,-0.1613208835,-0.1431091721,-0.1260117603,-0.1915776752,-0.3114703369,-,-,-,-,-,-,-
5032550,-0.001479614,0.0319276236,0.0099474757,0.0085015652,0.0023290472,0.9999517222,1.08E-22,1,0.9999999907,1,0,1,0,0,0,-,-,-,-,-,-,SVEN_4675,1723,5034273,5035367,1,hypothetical protein,-,-,-,-,-,-,-,0.0459430728,-0.5934156302,-0.3178334037,0.5864143607,0.1887035013,0.0216212501,0.3092879416
1346275,0.0447718516,0.0009740063,0.0049995536,0.0145628528,-0.0367425034,3.11E-22,0.9999998111,1,0.9999999907,1,1,0,0,0,0,SVEN_1195,102,1345400,1346173,-1,Translation initiation factor 3,SVEN_1196,134,1346409,1346795,1,hypothetical protein,-0.2126522289,1.4942886495,0.5666493249,-0.9114844363,-0.0530957034,-0.2742841327,0.4274533972,0.2466710717,0.2746570968,-0.0535547097,-0.0432450759,-0.0339291769,0.013599463,0.0558330234
7472475,0.0446829059,0.0152525267,0.0216635585,0.0325959524,0.0008464305,3.93E-22,0.027838555,4.62E-10,3.21E-09,1,1,0,1,1,0,SVEN_6823,135,7471879,7472340,-1,hypothetical protein,-,-,-,-,-,-,0.0378638824,0.1404993562,0.1884595033,0.0636599144,0.0099245823,0.0575923425,0.0593465744,-,-,-,-,-,-,-
3197200,0.023128493,0.0258687483,0.0115573941,0.0460322147,-0.0002700439,0.0032223254,1.18E-13,1,5.27E-22,1,0,1,0,1,0,SVEN_2926,67,3193468,3197133,-1,Transcription-repair coupling factor,SVEN_2927,43,3197243,3197509,1,"Prevent host death protein, Phd antitoxin",-0.2552329255,-0.0256144197,0.2509634923,-0.0457294292,0.0202961156,-0.0566183328,-0.029916719,0.1702192638,0.693316988,-0.706685688,1.0506939921,0.0413828272,0.2318047334,0.0308315223
3349275,0.0444886593,0.0005465783,0.0103515986,0.0177515144,-0.0197180271,6.56E-22,0.9999998111,1,0.9999999907,1,1,0,0,0,0,SVEN_3057,121,3348153,3349154,-1,RNA polymerase principal sigma factor HrdD,SVEN_3058,291,3349566,3350621,1,hypothetical protein,0.349245947,-1.8559281721,-1.8846816873,0.5958599927,1.1111203548,0.1967563455,0.0480506567,0.035828378,-0.083122585,0.0330704979,0.0162693698,-0.0537727442,-0.00276587,0.0726125734
